m,dm,mu,t,dt,df,k,m2,dm2,dmu,susc,rsw,rsw_check,growth_speed,dphi,drive
0.5226492857142857,0.00986939658317575,-6.399999999999998,167305.30025699997,863.9864154418736,0.0,1.0,0.27988328571428567,0.010153466989847891,1.0,0.006721009856632598,40,True,0.0009563355121100277,0.5493534292943184,1.0
0.3993915151515151,0.011400746679923496,-6.350000000000001,140344.21508530303,1408.2627396021542,0.0,1.0,0.1679621212121212,0.008818937980860479,1.0,0.008448538837098285,40,True,0.0011400541155383564,0.5991758315265506,1.0
0.328055352112676,0.011419404673265158,-6.3,114129.37106521128,1367.4394102094896,0.0,1.0,0.11674873239436619,0.007455580087682391,1.0,0.009128418344594352,40,True,0.0014019178280460264,0.648989162128409,1.0
0.2762825,0.010694201143453185,-6.25,94333.37697263889,1156.6717555105577,0.0,1.0,0.08445222222222222,0.006037718759413262,1.0,0.008120202415972222,40,True,0.001696112289570716,0.6987929595494228,1.0
0.23208157142857147,0.009049362302403071,-6.2,71955.20662342856,1114.8550387007951,0.0,1.0,0.05951199999999999,0.0044973244477584445,1.0,0.005650144203244868,40,True,0.0022236055944825,0.7485867389472851,1.0
0.2087755223880597,0.008660961970076366,-6.149999999999999,56934.63212044777,790.0124377549264,0.0,1.0,0.0485376119402985,0.003475869189927689,1.0,0.004950393191891292,40,True,0.002810240341265626,0.7983699910324421,1.0
0.17497044776119403,0.008225176151562652,-6.100000000000001,45463.43888313433,784.449075347079,0.0,1.0,0.03508,0.0028781060974670124,1.0,0.004465342410247274,40,True,0.0035193114276130034,0.8481421808574662,1.0
0.16336759999999997,0.015080761422863678,-6.05,33875.7498008,876.8095225035274,0.0,1.0,0.032147999999999996,0.0048252109798432655,1.0,0.005459027270240006,40,True,0.004723142688821651,0.8979027465488273,1.0
0.13687533333333332,0.01054837847464929,-6.0,27870.074880999997,703.4491437525278,0.0,1.0,0.02196133333333333,0.0027539071401190105,1.0,0.003226476458222223,40,True,0.0057409246542454604,0.9476510979784741,1.0
0.10528769230769232,0.0098657400097929,-5.949999999999999,21520.76351,498.3703681969513,0.0,1.0,0.013518461538461536,0.002166513164035896,1.0,0.0024329633869822447,40,True,0.0074346804622267785,0.9973866153727581,1.0
0.09284740740740739,0.010289916558938291,-5.900000000000001,17537.236597407405,306.8684342530357,0.0,1.0,0.011374074074074073,0.00206143501446863,1.0,0.002753433011796983,40,True,0.009123444227447635,1.0471086478559388,1.0
0.9938027777777777,0.00018737307285289267,-6.800000000000001,1614696.7126355558,10864.532197259023,0.0,1.0,0.9876447222222221,0.0003726150586361169,1.5,7.611033950860602e-07,40,True,9.90898159065694e-05,0.12527558208481604,1.5
0.9925639622641509,0.00021825278276798294,-6.75,1032310.7480907548,5186.761557263761,0.0,1.0,0.9851856603773584,0.0004330784351805454,1.5,2.4411918476685557e-06,40,True,0.00015499208963572054,0.17515370045829515,1.5
0.9900914925373134,0.0002898431595821283,-6.7,753663.071597612,3584.0744279332134,0.0,1.0,0.9802865671641793,0.0005732829968636214,1.5,5.403569414252907e-06,40,True,0.00021229645716995608,0.22502558584224922,1.5
0.9740030985915492,0.006305686988269092,-6.649999999999998,579248.8403271831,1946.4876465646896,0.0,1.0,0.951465633802817,0.010453945922059473,1.5,0.002783597736877863,40,True,0.00027621980202778746,0.2748909203442592,1.5
0.9765811111111111,0.0021218643583105603,-6.6000000000000005,467838.85894236114,1885.1580359194754,0.0,1.0,0.9540306944444445,0.004029563196068611,1.5,0.0003200278654321709,40,True,0.0003419980981522366,0.3247493699491331,1.5
0.9510295833333333,0.006826083430596723,-6.549999999999999,385468.85940625,1712.9957875655298,0.0,1.0,0.9077655555555556,0.011309607047826535,1.5,0.003308287180382008,40,True,0.0004150789255621144,0.37460058371069005,1.5
0.8797747115384614,0.013766468393683727,-6.5,325150.2399608654,1110.7476810139801,0.0,1.0,0.7935236538461539,0.01929749877720795,1.5,0.019520110783570854,40,True,0.0004920802150392303,0.42444419290395125,1.5
0.7560805769230771,0.023332619788355446,-6.450000000000002,278387.95373721153,993.5642438308781,0.0,1.0,0.6277324999999999,0.02739644432112388,1.5,0.056074661199666864,40,True,0.0005747375123531185,0.47427981013604315,1.5
0.6175002884615386,0.025707738938433995,-6.4,238590.40690374997,965.8851800591125,0.0,1.0,0.44937884615384616,0.027765085919926852,1.5,0.06807223990376277,40,True,0.0006706053360500189,0.5241070284138089,1.5
0.41985278846153845,0.023653524045389285,-6.35,207426.96636423076,871.7097677342485,0.0,1.0,0.23390442307692305,0.0210195536227611,1.5,0.057628059097993706,40,True,0.0007713558309436416,0.5739254201661869,1.5
0.33837375000000003,0.02257828509572515,-6.299999999999998,180772.34771884617,791.4423129668597,0.0,1.0,0.16700480769230766,0.017517015910143076,1.5,0.052508013003245146,40,True,0.0008850911216180406,0.6237345362193277,1.5
0.2636581730769231,0.01797009211181672,-6.25,156058.0109673077,872.3720768286335,0.0,1.0,0.10277625,0.011514803171069605,1.5,0.03326061776973928,40,True,0.0010252597672382106,0.6735339047222698,1.5
